Artist,Artwork,Year,Gen,Materiality,Methodology,Actor Relationships & Configuration,Ethical Approach,Aesthetic Strategy,Epistemic Function,Philosophical Stance,Social Context,Audience Engagement,Temporal Scale,Spatio Scale,Power and Capital Critique,Documentation & Representation
HeHe,Pollstream – Nuage Vert,2008,2,"Data (Energy Consumption), Environment (Atmosphere, Water Vapor)","Data Visualization, Laser Projection, Environmental Data Analysis","Audience Intervention, Algorithm Creation, Artist-Led","Reflective, Symbiotic","Spectacle, Data Aesthetics","Social Criticism, Science Communication, Political Commentary","Ecocentrism, Relational Ontology","Public Places, Urban Space","Participatory, Interactive","Temporary, Real-Time",Macro,"Governance, Resource Politics","Live Video (Laser Show), Photographic Records, Data Visualization, Narrative"
Eduardo Kac,Natural History of the Enigma,2003,2,"Plant, Gene (Human Being)",Transformation,Artist-Gene-Plant Hybrid,Poetic Creation,Symbolic Hybrid,,Relational Ontology,Art Gallery,Contemplative,Growth,Organic,Criticism Of Gene Patents,Living Sculpture
Oron Catts & Ionat Zurr,Disembodied Cuisine,2003,2,"Tissue Culture, Anti-Life",Tissue Engineering,Artist-Cell-Audience Conspiracy,Provocative Questions,Visceral Experience,Exploring The Cultural Meaning Of Alternative Meat,Biocentrism,Laboratory,Participatory (Tasting),Processual,Molecular,Criticism Of The Food Tech Industry,Performance Record
Wim Delvoye,Art Farm / Tattooed Pigs,1997,2,Animal (Pig),Body Art (Tattoo),"The Network Of Artists, Capitalists, And Animals",Systematic Exploitation,Baroque Excess,Questioning The Boundaries Of Art And Commodity,Criticism Of Anthropocentrism,Farm,Remote Observation,Long-Term,Global,Criticism Of The Art Market,Living Works
Paul Vanouse,Latent Figure Protocol,2007,3,"Extracted DNA, Data","Bioinformatics, Data Visualization","Artist-Led, Algorithm Creation",Reflective,Conceptual,"Institutional Criticism, Knowledge Production",New Materialism,"Laboratory, Gallery, Art Gallery","Observational, Interpretive Engagement",,Molecular Unit,"Biopolitics, Governance, Intellectual Property Rights","Live Video, Photographic Records, Lecture Performance"
Paul Vanouse,The America Project,2017,3,"Biological Traces (Saliva), Extracted DNA","Bioinformatics, Data Visualization","Multi-Actor Network, Audience Intervention","Reflective, Relational Ethics","Performative, Conceptual","Social Criticism, Political Commentary","New Materialism, Relational Ontology","Gallery, Biennale","Participatory, Data Provision",Short-Term Exhibition,From Individual Units To Installation Scale,"Biopolitics, Institutional Criticism","Live Video, Installation Residue, Photographic Records"
Anna Dumitriu,The Romantic Disease,2014,3,"Extracted DNA, Composite Materials (Relics, DNA)","Microbiology, Data Visualization","Artist-Led, Human-Nonhuman Collaboration","Reflective, Relational Ethics","Uncanny, Ambiguity Of Boundaries, Historical Texture","Science Communication, Historical Reflection, Educational","New Materialism, Post-Anthropocentrism","Art Gallery, Museum","Observational, Interpretive Engagement",Historical Temporality,Installation Scale At The Object Level,Institutional Criticism,"Material Residue (Transformed Relics), Narrative, Publication"
Anna Dumitriu,Make Do and Mend,2017,3,"Microorganism, Extracted DNA, Composite Materials","Gene Editing, Bioinformatics, Cell Culture",Artist-Led,"Reflective, Responsible Research And Innovation","Conceptual, Ambiguity Of Boundaries, Craft Aesthetics","Social Criticism, Future Proposal, Science Communication","Ecofeminism, Post-Anthropocentrism","Gallery, Science Museum","Observational, Interpretive Engagement",Short-Term Exhibition,,"Biopolitics, Governance, Research Fund","Material Residue (Dress), Diagram, Research Notes"
Špela Petrič,Confronting Vegetal Otherness (Skotopoiesis & Phytoteratology),2015-2017,3,"Human Body, Plant, Protein (Hormone)","Biosensing, Cell Culture","Interspecies Co-Creation, Autonomous Biological Processes","Relational Ethics, Care-Based, Symbiotic","Temporality, Performative, The Aesthetics Of Vulnerability","Knowledge Production, Arts-Based Research, Epistemological Things","Post-Anthropocentrism, Ecofeminism, New Materialism","Laboratory, Gallery, Performance Space",Observational (Performance),Continuous,,,"Time-Lapse Video, Photographic Records, Dictation, Lecture Performance"
Špela Petrič,PL'AI,2020,3,"Life-Machine Hybrid, Plant","AI Design, Machine Learning, Robotics","Interspecies Co-Creation, AI Co-Creation, Autonomous Biological Processes","Symbiotic, Relational Ethics","Creation, The Aesthetics Of Inefficiency","Institutional Criticism, Future Proposal, Philosophical Questions","Post-Anthropocentrism, Posthumanism, Relational Ontology, New Materialism, Object-Oriented Ontology","Gallery, Biennale","Observational, Interpretive Engagement","Evolutionary, Long-Term Project",Installation Scale,,"Live Video (Timelapse), Data Visualization, Research Notes"
Maja Smrekar,K-9_topology,2014-2017,3,"Human Body, Animal, Cell Lines, Protein (Hormone)","Cell Culture, Biosensing, Chemical Transformation","Interspecies Co-Creation, Artist-Led (Physical Intervention)",Relational Ethics,"Performative, Aversion, Grotesque","Social Criticism, Provocation And Controversy","Ecofeminism, Posthumanism, Criticism Of Speciesism","Gallery, Laboratory, Performance Space","Observational (Performance), Interpretive Engagement",Continuous,From Molecules To Human Body Scale,"Biopolitics, Queer Theory, Institutional Criticism","Photographic Records, Video Recording, Publication (Blog), Material Residue (Cell)"
Jalila Essaïdi,2.6g 329 m/s (Bulletproof Skin),2011,3,"Anti-Life, Tissue Culture, Mixture","Tissue Engineering, Transformation","Artist-Led, Human-Nonhuman Collaboration","Reflective, Provocation And Controversy","Spectacle, Uncanny, Functional Aesthetics","Social Criticism, Provocation And Controversy","Criticism Of Technological Determinism, Posthumanism","Laboratory, Gallery, Design Fair","Observational, Interpretive Engagement",Short-Term Exhibition,From Cell Unit To Individual Unit,"Bio Capital, Intellectual Property Rights, Commercialization","Photographic Records, Video Recording, Material Residue"
Jalila Essaïdi,Mestic®,2015,3,"Biological Traces (Excretions), Composite Materials",Chemical Transformation,Artist-Led,"Reflective, Reciprocity","Aversion, Functional Aesthetics","Future Proposal, Resource Politics",Ecocentrism,"Industrial Fair, Design Fair, Research Institute","Observational, Interpretive Engagement",In Progress,Industrial Scale,"Bio Capital, Commercialization, Resource Politics","Prototype (Textile), Diagram, Publication"
Charlotte Jarvis,Ergo Sum,2012,3,"Human Body, Cell Lines, Anti-Life, Blood","Cell Culture, Tissue Engineering","Artist-Led, Human-Nonhuman Collaboration","Reflective, Ontological Rights, Care-Based","Uncanny, Conceptual, Ambiguity Of Boundaries","Knowledge Production, Provocation And Controversy, Arts-Based Research","Posthumanism, New Materialism, Cyborg Theory","Laboratory, Art Gallery, Science Research Institute","Observational, Interpretive Engagement","Continuous, In Progress","Cell Unit, Human Body Size",Biopolitics,"Photographic Records, Live Video, Material Residue, Narrative"
Charlotte Jarvis,In Posse,2019-,3,"Human Body, Cell Lines, Blood, Extracted DNA, Synthetic Life Forms","Gene Editing, CRISPR-Cas9, Cell Culture, Induction Of Cell Differentiation","Artist-Led, Interspecies Co-Creation, Audience Intervention, Multi-Actor Network","Symbiotic, Relational Ethics, Reflective, Provocative","Performative, Conceptual, Relational Aesthetics","Social Criticism, Future Proposal, World Building","Ecofeminism, Queer Theory, Posthumanism, Post-Anthropocentrism","Laboratory, Art Gallery, Community Center, Online Platform","Participatory, Co-Creative, Workshop","Long-Term Project, In Progress, Intergenerational","Molecular Unit, Human Body Size, Global Network","Biopolitics, Queer Theory, Institutional Criticism","Diagram, Photographic Records, Lecture Performance, Publication, Archiving"
Agi Haines,Transfigurations,2013,3,"Mixture (Silicone, Mohair)",Sculpture,"Artist-Led, Intention And Control","Reflective, Risk Assessment, Provocative","Uncanny, Aversion, Grotesque, Visual Center, Spectacle","Future Proposal, Provocation And Controversy, Social Criticism","Transhumanism, Technological Determinism, Posthuman Ethics","Art Gallery, Gallery, Biennale","Observational, Interpretive Engagement",Short-Term Exhibition,Human Body Size,"Commercialization, Class, Biopolitics","Material Residue (Piece), Photographic Records"
Center for Genomic Gastronomy,Glowing Sushi Cooking Show,2010,3,"Animal (Transgenic Fish), Mixture (Food)",Cooking,"Artist-Led, Human-Nonhuman Collaboration","Instrumental, Objectification, Reflective","Performative, Multisensory (Taste), Conceptual, Humor","Science Communication, Educational, Provocation And Controversy, Social Criticism","Criticism Of Consumer Culture, Criticism Of Speciesism","Online Platform, Web-Based Projects","Participatory, Workshop, DIY Kit Provided",Temporary,Individual Unit,"Commercialization, Bio Capital","Live Video (Webcast), Recipe, Publication"
Center for Genomic Gastronomy,Food Phreaking,2013-,3,"Data, DNA Base Sequence, Biological Traces (Saliva)","Data Visualization, Independent Publishing","Artist-Led, Community Collaboration","Reflective, Responsible Research And Innovation","Conceptual, Idea-Centered, Data Aesthetics","Knowledge Production, Social Criticism, Educational, Citizen Science Projects","Ecocentrism, Decolonialism, Anti-Capitalism","Online Platform, Community Center, Publication","Interpretive Engagement, Citizen Science Projects","Long-Term Project, In Progress",Global Network,"Bio Capital, Intellectual Property Rights, Institutional Criticism, Decolonialism","Publication, Data Visualization, Archiving"
Heather Dewey-Hagborg,Stranger Visions,2012-13,3,"Data, DNA Base Sequence, Biological Traces, Mixture (3D Printing)","Bioinformatics, Data Visualization, 3D Printing","Artist-Led, Algorithm Creation","Reflective, Risk Assessment, Exposing Power Relations","Uncanny, Data Aesthetics, Visual Center","Social Criticism, Criticism Of Genetic Surveillance","Criticism Of Determinism, Posthumanism","Art Gallery, Gallery, Public Places (Sample Collection)","Observational, Interpretive Engagement",Short-Term Exhibition,"Molecular Unit, Human Body Size","Biopolitics, Governance, Institutional Criticism","3D Printed Sculptures, Photographic Records, Data Visualization"
Heather Dewey-Hagborg,Probably Chelsea,2017,3,"Data, DNA Base Sequence, Mixture (3D Printing)","Bioinformatics, Data Visualization, AI Design","Artist-Led, AI Co-Creation","Relational Ethics, Reflective, Symbiotic","Data Aesthetics, Conceptual, Aesthetics Of Plurality","Political Commentary, Social Criticism","Queer Theory, Criticism Of Determinism, Posthumanism","Art Gallery, Gallery","Observational, Interpretive Engagement",Short-Term Exhibition,"Molecular Unit, Human Body Size, Installation Scale","Biopolitics, Queer Theory, Institutional Criticism","3D Printed Sculptures, Photographic Records, Data Visualization"
Marta de Menezes,Nature?,1999,3,"Animal (Butterfly), Plant",Microsurgery,"Artist-Led, Human-Nonhuman Collaboration","Reflective, Care-Based, Ontological Rights","Biological Morphology, Change And Growth, Extinction And Decay","Provocation And Controversy, Knowledge Production","Post-Anthropocentrism, Relational Ontology","Laboratory, Art Gallery (Greenhouse Installation)","Observational, Contemplative","Temporary, Short-Term Exhibition","Individual Unit, Installation Scale","Research Fund, Institutional Resources","Living Organisms, Photographic Records, Microscope Image"
Marta de Menezes,Functional Portraits,2002,3,"Data, Biosignals (Brain Activity)","Biosensing, Data Visualization","Artist-Led, Human-Nonhuman Collaboration",Reflective,"Data Aesthetics, Immateriality, Conceptual","Knowledge Production, Arts-Based Research","Posthumanism, Criticism Of Mind-Body Dualism","Laboratory, Science Research Institute","Observational, Interpretive Engagement",Short-Term Exhibition,Human Body Size,Medical-Industrial Complex,"Data Visualization, Research Notes"
Paul Vanouse,Relative Velocity Inscription Device,2002,3,"DNA Sample, Data","Bioinformatics, Electrophoresis",Algorithm-DNA Interaction,Critical Representation,Data Race,Exposing The Fiction Of Scientific Objectivity,Social Constructivism,Gallery,Interpretive Engagement,Real-Time,Molecular,Criticizing The Commercialization Of Genetics,Data Visualization
Anicka Yi,You Can Call Me F,2015,4,"Microorganism, Bacteria, Biological Traces","Cell Culture, Aseptic Technology","Interspecies Co-Creation, Autonomous Biological Processes","Reflective, Relational Ethics","Olfactory (Smell), Aversion, Conceptual",Social Criticism,"Ecofeminism, New Materialism, Post-Anthropocentrism","Art Gallery, Gallery","Observational, Interpretive Engagement","Short-Term Exhibition, Change And Growth",Cluster Unit,"Institutional Criticism, Labor","Material Residue, Photographic Records, Narrative"
Anicka Yi,Life is Cheap,2017,4,"Microorganism, Bacteria, Animal (Ant), Mixture, Data (Scent)","Biosensing, Cell Culture, Robotics","Interspecies Co-Creation, Multi-Actor Network, Creation","Instrumental, Reflective","Multisensory, Olfactory (Smell), Uncanny","Social Criticism, Institutional Criticism, Provocation And Controversy","New Materialism, Decolonialism, Queer Theory","Art Gallery, Biennale","Observational, Multisensory Experience","Continuous, Change And Growth",Installation Scale,"Institutional Criticism, Bio Capital","Live Video, Material Residue, Installation"
Anicka Yi,In Love With The World,2021,4,"Life-Machine Hybrid, Artificial Life","AI Design, Robotics, Biosensing","AI Co-Creation, Autonomous Biological Processes, Creation, Audience Intervention","Symbiotic, Relational Ethics","Multisensory, Olfactory (Smell), Spectacle","Future Proposal, World Building","Posthumanism, New Materialism, Relational Ontology","Art Gallery, Biennale (Large Commissions)","Interactive (Body Sensing), Observational","Continuous, Evolutionary",Building Scale,"Research Fund, Biopolitics","Live Video, Installation, Narrative"
Alexandra Daisy Ginsberg,The Substitute,2019,4,"Data, Artificial Life","AI Design, Machine Learning, Data Visualization","Algorithm Creation, AI Co-Creation","Reflective, Responsible Research And Innovation, Animal Rights","Visual Center, Spectacle, Uncanny, Data Aesthetics","Social Criticism, Provocation And Controversy, Future Proposal","Post-Anthropocentrism, Criticism Of Speciesism, Posthuman Ethics","Art Gallery, Gallery","Observational, Interpretive Engagement",Short-Term Exhibition (Repeat),Individual Unit (Virtual),"Biopolitics, Intellectual Property Rights","Data Visualization, Live Video (Animated Movie)"
Alexandra Daisy Ginsberg,Resurrecting the Sublime,2019,4,"Data (DNA Base Sequence), Mixture (Fragrance Molecules)","Gene Editing (Prediction), Bioinformatics, Biosensing","Artist-Led, Human-Nonhuman Collaboration (Past Life)","Reflective, Responsible Research And Innovation","Olfactory (Smell), Sublime, Immateriality, Conceptual","Knowledge Production, Arts-Based Research","New Materialism, Ecocentrism, Post-Anthropocentrism","Art Gallery, Biennale, Science Research Institute","Multisensory Experience, Observational",Short-Term Exhibition,Installation Scale,,"Narrative, Data Visualization, Material Residue (Scent)"
Alexandra Daisy Ginsberg,Pollinator Pathmaker,2021,4,"Plant, Ecosystem","AI Design, Ecological Assembly, Data Visualization","AI Co-Creation, Interspecies Co-Creation, Audience Intervention","Symbiotic, Reciprocity, Care-Based, Ecocentrism","Change And Growth, Relational Aesthetics","Future Proposal, Citizen Science Projects, World Building","Ecocentrism, Deep Ecology, Relational Ontology","Public Places, Natural Environment, Online Platform","Participatory (DIY Kit Provided), Co-Creative","In Progress, Evolutionary","Local Ecosystem, Global Network","Governance, Resource Politics","Data Visualization (Web), Real-Time Plant Growth, Publication"
Michael Sedbon,Cmd: Experiment in Bio-Algorithmic Politics,2019,4,"Microorganism (Cyanobacteria), Life-Machine Hybrid","Biocomputing, AI Design (Genetic Algorithm), Biosensing","Multi-Actor Network, Creation, Autonomous Biological Processes","Instrumental, Reflective","Data Aesthetics, Conceptual","Knowledge Production, Art As Experiment, Political Commentary","Relational Ontology, Cyborg Theory","Art Gallery, Laboratory","Observational, Interpretive Engagement","Continuous, Evolutionary",Installation Scale,"Bio Capital, Biopolitics, Governance","Live Video, Data Visualization, Research Notes"
Jenna Sutela,nimiia cétiï,2018,4,"Microorganism (Bacteria), Data, Artificial Life","AI Design, Machine Learning, Biosensing","AI Co-Creation, Interspecies Co-Creation, Distributed Intelligence","Symbiotic, Relational Ethics","Auditory (Sound), Data Aesthetics, Immateriality","Arts-Based Research, Knowledge Production, World Building","New Materialism, Posthumanism, Relational Ontology","Art Gallery, Online Platform","Interpretive Engagement, Observational",Short-Term Exhibition (Video),From Molecules To Networks,,"Live Video, Data Visualization, Publication"
Jenna Sutela,I Magma,2019,4,"Mixture (Glass), Data","AI Design, Machine Learning","AI Co-Creation, Artist-Led",Reflective,"Visual Center, Biological Morphology, Uncanny",Arts-Based Research,"New Materialism, Posthumanism","Art Gallery, Gallery",Observational,Short-Term Exhibition,"Individual Unit, Installation Scale",,"Photographic Records, Material Residue, Video"
Jenna Sutela,Gut-Flora / HMO nutrix,2022,4,"Mixture (Synthetic Breast Milk), Data (Biochemical Information)","Biosensing, Biochemical Reproducibility","Artist-Led, Autonomous Biological Processes (Suggestion)","Symbiotic, Relational Ethics","Biological Morphology, Conceptual","Science Communication, Arts-Based Research","Ecofeminism, New Materialism, Posthumanism","Art Gallery, Gallery","Observational, Interpretive Engagement",Short-Term Exhibition,Installation Scale,"Biopolitics, Institutional Criticism","Installation, Material Residue, Video"
Claire Pentecost,soil-erg,2012,4,"Composite Materials, Plant, Microorganism","Ecological Assembly, Public Workshops","Artist-Led, Human-Nonhuman Collaboration","Care-Based, Relational Ethics","Conceptual, Ambiguity Of Boundaries","Social Criticism, Future Proposal, Institutional Criticism","Ecocentrism, New Materialism","Art Gallery, Biennale, Community Center","Participatory (Workshop), Interpretive Engagement","Long-Term Project, Continuous","Installation Scale, Local Ecosystem","Alternative Value Systems, Institutional Criticism","Sculptural Object, Drawing, Workshop Record"
Claire Pentecost,Proposal for a New American Agriculture,2008-,4,"Plant, Microorganism, Composite Materials",Ecological Assembly (Composting),"Autonomous Biological Processes, Artist-Led",Reflective,"Extinction And Decay, Conceptual","Political Commentary, Social Criticism",Ecocentrism,"Art Gallery, Gallery","Observational, Interpretive Engagement","Continuous, Process-Based",Individual Unit,"Institutional Criticism, Symbolic Politics","Material Residue, Photographic Records"
Claire Pentecost,Our Bodies Our Soils,2015-,4,"Plant, Microorganism, Biological Traces","Chromatography, Ecological Assembly",Human-Nonhuman Collaboration,"Care-Based, Relational Ethics","Biological Morphology, Patterns And Textures, Data Aesthetics","Knowledge Production, Science Communication","Ecocentrism, New Materialism","Art Gallery, Gallery","Observational, Interpretive Engagement","Continuous, Long-Term Project","Installation Scale, Cluster Unit","Healthcare Politics, Resource Politics","Material Residue, Diagram, Photographic Records"
Candice Lin,"A Hard White Body, a Porous Slip",2018,4,"Composite Materials, Microorganism, Human Body (Urine)","Ecological Assembly, Distillation, Fermentation","Autonomous Biological Processes, Multi-Actor Network","Reflective, Relational Ethics","Multisensory (Smell), Aversion, Extinction And Decay",Reinterpretation Of History,"Decolonialism, New Materialism, Queer Theory","Art Gallery, Gallery","Observational, Sensory Engagement, Data Provision (Urine)","Short-Term Exhibition, Continuous",Installation Scale,"Decolonialism, Institutional Criticism, Identity Politics","Material Residue, Live Video, Narrative"
Candice Lin,Pigs and Poison,2022,4,"Composite Materials (Lard, Bone Pigment), Plant (Poppy)","Mechanical Assembly, Performance","Artist-Led, Machine Actors","Reflective, Provocation And Controversy","Spectacle, Aversion, Performative, Multisensory (Smell)",Political Commentary,"Decolonialism, Relational Ontology","Art Gallery, Gallery","Observational, Sensory Engagement","Short-Term Exhibition, Performative",Installation Scale,"Decolonialism, Biopolitics, Racial Politics","Material Residue, Performance Record, Photographic Records"
Candice Lin,"Seeping, Rotting, Resting, Weeping",2021,4,"Composite Materials, Plant (Indigo), Microorganism","Ecological Assembly, Textile Dyeing","Human-Nonhuman Collaboration, Multi-Actor Network","Symbiotic, Care-Based","Multisensory, Change And Growth","World Building, Future Proposal","Post-Anthropocentrism, Animism, New Materialism","Art Gallery, Gallery","Observational, Sensory Engagement","Short-Term Exhibition, Continuous",Installation Scale,"Decolonialism, Criticism Of Speciesism","Textiles, Sculpture, Video, Narrative"
Jes Fan,Systems (series),2018-,4,"Composite Materials, Synthetic Materials","Glass Crafts, Chemical Synthesis","Artist-Led, Intention And Control","Reflective, Relational Ethics","Biological Morphology, Uncanny, Ambiguity Of Boundaries","Social Criticism, Identity Exploration","Queer Theory, Posthumanism, New Materialism","Art Gallery, Gallery","Observational, Interpretive Engagement","Continuous, Long-Term Project","Human Body Size, Installation Scale","Queer Theory, Biopolitics, Bio Capital","Sculptural Object, Photographic Records"
